variable_set|section|subsection|variable_name|polity_name|polity_new_ID|predecessor|successor|contested|overturn|predecessor_assassination|intra_elite|military_revolt|popular_uprising|separatist_rebellion|external_invasion|external_interference|name|transition_year|confidence|is_disputed|is_uncertain|expert_checked
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Rimush|Manishtushu|P|P|P|P|A|A|A|A|A|None|-2270|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Late Old Kingdom|eg_old_k_2|Pepi II / Neferkare|Merenre II|IP|IP|SU|IP|SU|IP|SU|A|SU|None|-2184|Confident|||False
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Manishtushu|Naram-Sin|P|P|P|P|A|A|A|A|A|None|-2255|Confident|||False
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Naram-Sin|Shar-Kali-Sharri|A|A|A|A|A|A|A|A|A|None|-2218|Confident|||False
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Shar-Kali-Sharri|Anarchy|P|P|A|P|P|A|P|P|A|None|-2193|Confident|||False
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Anarchy|Dudu|P|IP|SU|SU|P|A|P|P|SU|None|-2190|Confident|||False
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Dudu|Shu-turul|P|A|A|A|A|A|A|P|A|None|-2168|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Late Old Kingdom|eg_old_k_2|Merenre II|Tepya Mentuhotep I|IP|SU|SU|SU|SU|SU|IP|A|SU|None|-2184|Confident|||False
Crisisdb|Power Transitions||Power Transition|Akkadian Empire|iq_akkad_emp|Shu-turul|Gutian dynasty|P|A|A|A|A|A|A|P|A|None|-2154|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Period of the Regions|eg_regions|Tepya Mentuhotep I|Intef I / Sehertawy|SU|SU|SU|SU|SU|SU|SU|A|SU|None|-2125|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Period of the Regions|eg_regions|Intef I / Sehertawy|Intef II / Wahankh|IA|IA|IA|IA|IA|IA|IA|A|IA|None|-2112|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Period of the Regions|eg_regions|Intef II / Wahankh|Intef III / Nakjtnebtepnefer|SU|A|A|A|A|A|A|A|A|None|-2063|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Period of the Regions|eg_regions|Intef III / Nakjtnebtepnefer|Mentuhotep II / Nebhepetra|IA|A|A|A|A|A|A|A|A|None|-2055|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Period of the Regions|eg_regions|Mentuhotep II / Nebhepetra|Mentuhotep III / Sankhkara|SU|A|A|A|A|A|A|A|A|None|-2004|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Mentuhotep III / Sankhkara|Mentuhotep IV / Nebtawyra|IA|IA|IA|IA|IA|IA|IA|A|IA|None|-1992|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Mentuhotep IV / Nebtawyra|Amenemhat I / Sehetepibra|P|P|SU|P|IA|IA|IA|A|IA|None|-1985|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Amenemhat I / Sehetepibra|Senusret I / Kheperkara|P|P|P|IP|P|IA|IA|A|IA|None|-1956|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Senusret I / Kheperkara|Amenemhat II / Nubkaura|A|A|A|A|A|A|A|A|A|None|-1911|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Amenemhat II / Nubkaura|Senusret II / Khakheperra|A|A|A|A|A|A|A|A|A|None|-1877|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Senusret II / Khakheperra|Senusret III / Khakaura|A|A|A|A|A|A|A|A|A|None|-1870|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Senusret III / Khakaura|Amenemhat III / Nimaatra|A|A|A|A|A|A|A|A|A|None|-1831|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Amenemhat III / Nimaatra|Amenemhat IV / Maakherura|A|A|A|A|A|A|A|A|A|None|-1786|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Amenemhat IV / Maakherura|Queen Sobekneferu / Sobekkara|A|IA|IA|IA|IA|IA|IA|A|IA|None|-1777|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Middle Kingdom|eg_middle_k|Queen Sobekneferu / Sobekkara|Wegaf / Khutawyra|SU|IA|IA|IA|IA|IA|IA|A|IA|None|-1773|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Thebes-Hyksos Period|eg_thebes_hyksos|Taa / Senakhtenra / Seqenenra|Kamose|A|A|A|A|A|A|A|SU|SU|None|-1555|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - Thebes-Hyksos Period|eg_thebes_hyksos|Kamose|Ahmose / Nebpehtyra|A|A|A|A|A|A|A|A|A|None|-1550|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Ahmose / Nebpehtyra|Amenhotep I / Djeserkara|A|A|A|A|A|A|A|A|A|None|-1525|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Amenhotep I / Djeserkara|Thutmose I / Aakheperkara|A|A|A|A|A|A|A|A|A|None|-1504|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Thutmose I / Aakheperkara|Thutmose II / Aakheperenra|A|A|A|A|A|A|A|A|A|None|-1492|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Thutmose II / Aakheperenra|Thutmose III / Menkheperra|A|A|A|A|A|A|A|A|A|None|-1479|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Thutmose III / Menkheperra|Queen Hatshepsut / Maatkara|P|P|A|P|A|A|A|A|A|None|-1473|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Queen Hatshepsut / Maatkara|Thutmose III / Menkheperra|IP|IP|IP|IP|A|A|A|A|A|None|-1458|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Thutmose III / Menkheperra|Amenhotep II / Aakheperura|IA|A|A|A|A|A|A|A|A|None|-1425|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Amenhotep II / Aakheperura|Thutmose IV / Menkheperura|SU|IA|A|SU|SU|A|A|A|A|Thutmose IV usurps throne|-1400|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Thutmose IV / Menkheperura|Amenhotep III / Nebmaatra|A|A|A|A|A|A|A|A|A|None|-1390|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Amenhotep III / Nebmaatra|Amenhotep IV / Akhenaten / Neferkheperurawaenra|SU|A|A|SU|SU|A|A|A|A|None|-1352|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Amenhotep IV / Akhenaten / Neferkheperurawaenra|Neferneferuaten / Smenkhkara|SU|A|A|SU|SU|A|A|A|A|None|-1336|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Suppiluliuma I|Arnuwanda II|A|A|A|A|A|A|A|A|A|None|-1322|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Neferneferuaten / Smenkhkara|Tutankhamun / Nebkheperura|IP|IA|IA|IP|A|A|A|A|A|None|-1336|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Tutankhamun / Nebkheperura|Ay / Kheperkheperura|IP|IP|IP|IP|SU|A|A|A|A|None|-1327|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Ay / Kheperkheperura|Horemheb / Djeserkheperura|IP|IA|IA|IP|IP|A|A|A|A|None|-1323|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|Horemheb / Djeserkheperura|Rameses I / Menpehtyra|IA|A|A|A|A|A|A|A|A|None|-1295|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Arnuwanda II|Mursili II|P|A|A|P|A|A|A|P|A|None|-1321|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Mursili II|Muwattalli II|A|A|A|A|A|A|A|A|A|None|-1295|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses I / Menpehtyra|Sety I / Menmaatra|IA|IA|IA|IA|IA|A|A|A|A|None|-1294|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Muwattalli II|Murshili III|IP|A|A|P|A|A|A|A|A|None|-1272|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Sety I / Menmaatra|Rameses II / Usermaatra Setepenra|A|A|A|A|A|A|A|A|A|None|-1279|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses II / Usermaatra Setepenra|Merenptah / Baenra|IA|A|A|A|A|A|IA|A|A|None|-1213|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Murshili III|Hattusili III|P|P|A|P|A|A|A|A|A|None|-1267|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Hattusili III|Tudhaliya IV|IP|A|A|IP|A|A|A|A|A|None|-1237|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Tudhaliya IV|Arnuwanda III|A|A|A|A|A|A|A|A|A|None|-1209|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Merenptah / Baenra|Amenmessu / Menmira|P|A|A|P|P|SU|A|A|A|Succession to Merenptah|-1203|Confident|||False
Crisisdb|Power Transitions||Power Transition|Hatti - New Kingdom|tr_hatti_new_k|Arnuwanda III|Suppiluliuma II|A|A|A|A|A|A|A|A|A|None|-1207|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Amenmessu / Menmira|Sety II / Userkheperura Setepenra|SU|DIS|SU|SU|SU|SU|IA|A|IA|None|-1200|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Sety II / Userkheperura Setepenra|Saptah / Akehnrasetepenra|A|A|A|A|A|A|A|A|A|None|-1194|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Saptah / Akehnrasetepenra|Queen Tausret / Sitrameritamun|SU|DIS|SU|SU|SU|SU|IA|A|IA|None|-1188|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Queen Tausret / Sitrameritamun|Sethnakht / Userkhaura Meryamun|IP|A|SU|SU|SU|SU|SU|A|IA|Disorder before accession of 20th Dynasty Egypt|-1186|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Sethnakht / Userkhaura Meryamun|Rameses III / Usermaatra Meryamun|IA|A|A|A|A|A|A|A|A|None|-1184|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses III / Usermaatra Meryamun|Rameses IV / Heqamaatra Setepenamun|IP|IP|IP|IP|SU|A|A|A|IA|Harem Conspiracy|-1153|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses IV / Heqamaatra Setepenamun|Rameses V / Usermaatra Sekheperenra|IA|A|A|A|A|IA|A|A|A|None|-1147|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses V / Usermaatra Sekheperenra|Rameses VI / Nebmaatra Meryamun|IP|DIS|SU|DIS|SU|SU|A|A|A|None|-1143|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses VI / Nebmaatra Meryamun|Rameses VII / Usermaatra Setepenra Meryamun|SU|A|A|SU|SU|SU|SU|A|A|None|-1136|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses VII / Usermaatra Setepenra Meryamun|Rameses VIII / Usermaatra Akhenamun|SU|DIS|SU|SU|SU|SU|SU|A|A|None|-1129|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses VIII / Usermaatra Akhenamun|Rameses IX / Neferkara Setepenra|IP|IP|IP|IP|SU|SU|SU|A|A|None|-1126|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses IX / Neferkara Setepenra|Rameses X / Khepermaatra Setepenra|SU|SU|SU|SU|SU|SU|SU|IA|SU|None|-1108|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses X / Khepermaatra Setepenra|Rameses XI / Menmaatra Setepenptah|SU|SU|SU|SU|SU|SU|SU|IA|SU|None|-1099|Confident|||False
Crisisdb|Power Transitions||Power Transition|Egypt - New Kingdom Ramesside Period|eg_new_k_2|Rameses XI / Menmaatra Setepenptah|Ptolemy I Soter|P|A|A|SU|SU|SU|SU|IA|SU|None|-1069|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Adad-Nirari II|Tukulti-Ninurta II|IA|SU|SU|SU|SU|SU|SU|SU|SU|None|-891|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Tukulti-Ninurta II|Ashurnasirpal II|IA|SU|SU|SU|SU|SU|SU|SU|SU|None|-884|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Ashurnasirpal II|Shalmaneser III|IA|SU|SU|SU|SU|SU|SU|SU|SU|None|-859|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Shalmaneser III|Shamshi-Adad V|P|A|A|IP|IP|A|A|A|A|None|-824|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Shamshi-Adad V|Adad-nirari III|IP|IA|IA|SU|SU|SU|SU|SU|SU|None|-811|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Adad-nirari III|Shalmaneser IV|SU|SU|SU|SU|SU|SU|SU|SU|SU|None|-783|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Shalmaneser IV|Ashur-dan III|IP|SU|SU|SU|SU|SU|SU|SU|SU|None|-773|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Ashur-dan III|Ashur-nirari V|IP|SU|SU|SU|SU|SU|SU|SU|SU|None|-755|Confident|||False
Crisisdb|Power Transitions||Power Transition|Roman Kingdom|it_roman_k|Romulus and Remus|Romulus|P|P|P|A|P|A|A|A|A|None|-753|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Ashur-nirari V|Tiglath-Pileser III|P|P|SU|IP|P|P|A|A|A|None|-745|Confident|||False
Crisisdb|Power Transitions||Power Transition|Roman Kingdom|it_roman_k|Romulus|Numa Pompilius|A|A|A|A|A|A|A|A|A|None|-715|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Tiglath-Pileser III|Shalmaneser V|A|A|A|A|A|A|A|A|A|None|-727|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Shalmaneser V|Sargon II|P|P|IP|IP|P|A|A|A|A|None|-722|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Sargon II|Sennacherib|P|P|P|A|A|A|P|A|A|None|-705|Confident|||False
Crisisdb|Power Transitions||Power Transition|Roman Kingdom|it_roman_k|Numa Pompilius|Tullus Hostilius|A|A|A|A|A|A|A|A|A|None|-673|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Sennacherib|Esarhaddon|P|P|P|P|P|A|A|A|A|None|-681|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Esarhaddon|Ashurbanipal|A|A|A|A|A|A|A|A|A|None|-669|Confident|||False
Crisisdb|Power Transitions||Power Transition|Roman Kingdom|it_roman_k|Tullus Hostilius|Ancus Marcius|P|A|A|A|A|A|A|P|A|None|-641|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Ashurbanipal|Ashur-etil-ilani|DIS|DIS|SU|SU|SU|SU|SU|SU|SU|None|-631|Confident|||False
Crisisdb|Power Transitions||Power Transition|Roman Kingdom|it_roman_k|Ancus Marcius|Tarquinius Priscus|A|A|A|A|A|A|A|A|A|None|-616|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Ashur-etil-ilani|Sinsharishkun|DIS|DIS|SU|SU|SU|SU|SU|SU|SU|None|-627|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Sinsharishkun|Sin-shumu-lishir|P|P|A|IA|P|A|A|A|A|None|-626|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Sin-shumu-lishir|Sinsharishkun|P|P|SU|SU|P|A|A|A|A|None|-626|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Sinsharishkun|Ashur-uballit II|P|P|IP|A|A|A|A|P|P|None|-612|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Babylonian Empire|iq_neo_babylonian_emp|Nabopolassar|Nebuchadnezzar II|A|A|A|A|A|A|A|A|A|None|-605|Confident|||False
Crisisdb|Power Transitions||Power Transition|Roman Kingdom|it_roman_k|Tarquinius Priscus|Servius Tullius|P|A|P|P|A|A|A|A|A|None|-579|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Assyrian Empire|iq_neo_assyrian_emp|Ashur-uballit II|end of polity|P|P|SU|IA|IA|IA|IA|P|P|None|-609|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Babylonian Empire|iq_neo_babylonian_emp|Nebuchadnezzar II|Amel-Marduk|IP|IA|A|IP|A|A|A|A|A|None|-562|Confident|||False
Crisisdb|Power Transitions||Power Transition|Roman Kingdom|it_roman_k|Servius Tullius|Tarquinius Superbus|P|P|P|P|A|A|A|A|A|None|-534|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Babylonian Empire|iq_neo_babylonian_emp|Amel-Marduk|Neriglissar|P|P|P|IP|A|A|A|A|A|None|-560|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Babylonian Empire|iq_neo_babylonian_emp|Neriglissar|Labashi-Marduk|P|A|A|P|A|A|A|A|A|None|-556|Confident|||False
Crisisdb|Power Transitions||Power Transition|Achaemenid Empire|ir_achaemenid_emp|Cyrus II|Cambyses II|A|A|A|A|A|A|A|A|A|None|-530|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Babylonian Empire|iq_neo_babylonian_emp|Labashi-Marduk|Nabonidus|P|P|P|P|A|A|A|A|A|None|-556|Confident|||False
Crisisdb|Power Transitions||Power Transition|Neo-Babylonian Empire|iq_neo_babylonian_emp|Nabonidus|Cyrus II|P|P|SU|A|A|A|A|P|P|None|-539|Confident|||False
Crisisdb|Power Transitions||Power Transition|Achaemenid Empire|ir_achaemenid_emp|Cambyses II|Bardiya / Gaumata|IP|A|A|IP|A|A|P|A|A|Gaumata usurps throne as Bardiya; Assassination of the imposter Gaumata|-522|Confident|||False
Crisisdb|Power Transitions||Power Transition|Achaemenid Empire|ir_achaemenid_emp|Bardiya / Gaumata|Darius I|P|P|P|IP|P|P|P|A|A|Rebellion of Pedubast III; Revolt in Elam; Revolt in Babylonia; Revolt in Bactria; Revolt in Persis; Revolt in Parthia; Revolt in Media; Revolt in Assyria; Revolt in Egypt; Intaphernes Incident|-522|Confident|||False
Crisisdb|Power Transitions||Power Transition|Achaemenid Empire|ir_achaemenid_emp|Darius I|Xerxes I|P|A|A|P|SU|A|A|A|A|Assassination of Xerxes I; Succession conflict to Xerxes I|-486|Confident|||False
Crisisdb|Power Transitions||Power Transition|Achaemenid Empire|ir_achaemenid_emp|Xerxes I|Artaxerxes I|P|P|P|P|P|A|SU|A|A|None|-465|Confident|||False
Crisisdb|Power Transitions||Power Transition|Eastern Zhou|cn_eastern_zhou_warring_states|King Yuan of Zhou (Ji Ren)|King Zhending of Zhou (Ji Jie, Chên-ting)|P|A|A|A|A|A|A|A|A|None|-469|Confident|||False
Crisisdb|Power Transitions||Power Transition|Eastern Zhou|cn_eastern_zhou_warring_states|King Zhending of Zhou (Ji Jie, Chên-ting)|King Ai of Zhou (Ji Quji)|P|P|P|P|A|A|A|A|A|None|-441|Confident|||False
